Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
26,9.41613,229.805,6,7,2
52,22.9459,118.888,14,9,1
4,3.49751,246.545,0,0,2
60,26.1729,129.64,12,13,1
9,3.59863,244.592,1,0,2
5,0.860689,258.61,3,0,2
33,13.2546,144.865,5,8,2
30,11.5007,212.601,7,5,2
34,14.356,206.76,7,11,1
55,26.0387,147.468,9,7,1
12,4.52892,230.007,4,4,2
29,14.4708,193.593,3,6,2
90,40.0153,78.9398,19,20,1
17,7.28732,186.754,4,4,2
92,40.8082,83.0868,20,19,0
37,13.8553,202.059,12,8,2
8,2.32596,236.413,4,0,2
10,4.0115,259.81,2,2,2
126,57.2242,56.4108,24,26,0
25,14.2051,197.814,5,7,2
71,33.2689,144.6,12,14,1
14,7.20903,239.603,3,2,2
14,5.5318,232.272,0,1,2
11,5.78442,218.335,0,3,2
26,10.2028,224.636,10,4,2
13,4.62626,251.369,5,2,2
12,5.2013,253.935,1,3,2
75,32.8365,81.091,17,15,1
7,4.72698,227.092,1,2,2
94,38.9181,94.4745,19,19,1
85,39.8234,92.1725,17,18,1
44,18.7237,164.282,6,12,2
15,5.20131,222.674,5,2,2
22,10.8399,205.894,3,5,2
20,6.67927,178.159,8,2,2
15,6.09092,214.369,3,3,2
21,9.1485,221.877,5,6,2
59,27.3646,88.2678,13,10,2
2,0.62079,253.119,1,1,2
21,8.25836,226.011,6,6,2
124,50.2865,40.8618,31,33,0
52,24.335,121.431,15,8,1
10,3.27312,245.625,3,1,2
32,12.3411,181.705,6,4,2
3,2.42795,262.046,0,0,2
31,13.6911,202.456,2,8,2
26,10.9519,208.94,6,6,2
8,2.87082,265.007,2,2,2
51,22.8547,156.076,15,9,2
32,15.3008,174.976,8,6,2
12,6.22513,221.999,0,2,2
17,5.6347,238.733,5,3,2
31,14.2582,154.783,5,5,2
46,20.3291,182.341,13,9,2
11,3.69289,252.87,5,2,2
40,19.0918,164.545,10,7,1
44,17.5421,150.688,16,13,1
44,17.2328,143.271,9,6,1
4,1.26439,263.658,1,1,2
19,6.12406,229.422,4,6,2
76,32.5047,116.73,16,13,1
6,4.00377,262.667,0,3,2
23,6.84894,218.153,8,2,2
8,4.86339,251.737,1,3,2
27,9.54526,205.207,8,7,2
41,20.0942,136.35,2,11,1
57,24.113,127.464,17,9,1
6,3.18184,263.423,0,2,2
94,39.9687,66.975,20,18,1
34,13.2374,154.835,6,6,1
13,6.47131,242.936,2,2,2
14,7.87799,240.575,3,4,2
6,4.2089,252.036,2,1,2
18,7.78459,209.824,4,2,2
105,51.1257,56.5979,22,27,0
42,17.9571,193.096,10,12,2
18,8.12347,186.181,4,2,2
26,13.2014,147.351,5,5,1
8,3.69986,269.062,3,1,2
44,19.7413,165.798,6,10,2
82,38.1337,47.4929,21,11,1
2,0.864889,248.703,0,1,2
